ID,Título,Categoria,Volumes,Lançamento,page_url,image_url
7751,Double Baby,Manga,1,Apr 2010 - Aug 2011,https://myanimelist.net/manga/39429/Double_Baby,https://cdn.myanimelist.net/r/100x140/images/manga/2/69983.jpgSem informaçõess=40cbe14ad7bef99dad1dda7a14f4574d
7752,Save Me,Manhwa,Sem informações,Dec 2016 - Dec 2017,https://myanimelist.net/manga/128090/Save_Me,https://cdn.myanimelist.net/r/100x140/images/manga/2/259420.jpgSem informaçõess=e92cf8c87a6b4c7b609a805922f1b904
7753,Shukumei no Partner,Manga,1,2007 - 2007,https://myanimelist.net/manga/25999/Shukumei_no_Partner,https://cdn.myanimelist.net/r/100x140/images/manga/2/41760.jpgSem informaçõess=897512d7dad7b21531c68e39e60f4f60
7754,Ghost King,Manhwa,Sem informações,Nov 2021 - Apr 2023,https://myanimelist.net/manga/147737/Ghost_King,https://cdn.myanimelist.net/r/100x140/images/manga/2/262094.jpgSem informaçõess=4c7cb3309fb696c935a7638fdbef83bc
7755,Seiri-chan,Manga,4,Jan 2017 - Oct 2020,https://myanimelist.net/manga/118205/Seiri-chan,https://cdn.myanimelist.net/r/100x140/images/manga/2/220809.jpgSem informaçõess=bc895f8446d72e0dc11a648fe7e8b61e
7756,Gaku☆Ou: The Twinkle Star Story,Manga,1,Oct 2012 - Mar 2013,https://myanimelist.net/manga/44789/Gaku☆Ou__The_Twinkle_Star_Story,https://cdn.myanimelist.net/r/100x140/images/manga/3/118019.jpgSem informaçõess=92251ba8961f8a4fc4ff29df4949fc82
7757,Kanaete! Yuri Yousei,Manga,1,Nov 2014 - Feb 2017,https://myanimelist.net/manga/88633/Kanaete_Yuri_Yousei,https://cdn.myanimelist.net/r/100x140/images/manga/2/195987.jpgSem informaçõess=0e211a975c4ffe5f53747ba0a8898892
7758,Chic,Doujinshi,1,-,https://myanimelist.net/manga/5223/Chic,https://cdn.myanimelist.net/r/100x140/images/manga/1/6544.jpgSem informaçõess=1fa9df1481dd8a4d48d8e1bc434bc132
7759,Hayate no Gotoku! 0,Manga,1,May 2012 - May 2012,https://myanimelist.net/manga/47591/Hayate_no_Gotoku_0,https://cdn.myanimelist.net/r/100x140/images/manga/3/131849.jpgSem informaçõess=bff4ad0b8b214e3969e1e7becf006cda
7760,Namida wo Yurushita Jigoku no Shisha,One-shot,Sem informações,Apr 2010 - Apr 2010,https://myanimelist.net/manga/94549/Namida_wo_Yurushita_Jigoku_no_Shisha,https://cdn.myanimelist.net/r/100x140/images/manga/2/177498.jpgSem informaçõess=507368154ef604ae018c6c7cc2f5c124
